配送種別,エリア,受注単価,卸単価
配達完了①,西,205.7,160
配達完了①,安佐南,205.7,160
配達完了①,中央(中区),205.9,160
配達完了①,中央(東区),224.2,160
配達完了①,府中,205.7,160
配達完了①,伴,205.7,160
配達完了①,宇品,204.6,160
配達完了②,西,205.7,160
配達完了②,安佐南,205.7,160
配達完了②,中央(中区),205.9,160
配達完了②,中央(東区),224.2,160
配達完了②,府中,205.7,160
配達完了②,伴,205.7,160
配達完了②,宇品,204.6,160
転居大口等①,西,205.7,160
転居大口等①,安佐南,205.7,160
転居大口等①,中央(中区),205.9,160
転居大口等①,中央(東区),224.2,160
転居大口等①,府中,205.7,160
転居大口等①,伴,205.7,160
転居大口等①,宇品,204.6,160
転居大口等②,西,205.7,160
転居大口等②,安佐南,205.7,160
転居大口等②,中央(中区),205.9,160
転居大口等②,中央(東区),224.2,160
転居大口等②,府中,205.7,160
転居大口等②,伴,205.7,160
転居大口等②,宇品,204.6,160
夜間配送,西,50,31
夜間配送,安佐南,50,31
夜間配送,中央(中区),50,31
夜間配送,中央(東区),50,31
夜間配送,府中,50,31
夜間配送,伴,50,31
夜間配送,宇品,50,31
大配送,西,90,72
大配送,安佐南,90,72
大配送,中央(中区),90,72
大配送,中央(東区),90,72
大配送,府中,90,72
大配送,伴,90,72
大配送,宇品,90,72
集荷①,西,119.1,80
集荷①,安佐南,131.8,80
集荷①,中央(中区),131.8,80
集荷①,中央(東区),106.4,80
集荷①,府中,131.8,80
集荷①,伴,131.8,80
集荷①,宇品,106.4,80
集荷②,西,119.1,80
集荷②,安佐南,131.8,80
集荷②,中央(中区),131.8,80
集荷②,中央(東区),106.4,80
集荷②,府中,131.8,80
集荷②,伴,131.8,80
集荷②,宇品,106.4,80
不在個数,西,205.7,160
不在個数,安佐南,205.7,160
不在個数,中央(中区),205.9,160
不在個数,中央(東区),224.2,160
不在個数,府中,205.7,160
不在個数,伴,205.7,160
不在個数,宇品,204.6,160
